rank,lemma,lang,order_signal,source
1,あい,ja,m1,open-lingo-curriculum-order
2,いいえ,ja,m1,open-lingo-curriculum-order
3,馬,ja,m1,open-lingo-curriculum-order
4,かい,ja,m1,open-lingo-curriculum-order
5,顔,ja,m1,open-lingo-curriculum-order
6,かめ,ja,m1,open-lingo-curriculum-order
7,きのこ,ja,m1,open-lingo-curriculum-order
8,桜,ja,m1,open-lingo-curriculum-order
9,月,ja,m1,open-lingo-curriculum-order
10,船,ja,m1,open-lingo-curriculum-order
11,星,ja,m1,open-lingo-curriculum-order
12,桃,ja,m1,open-lingo-curriculum-order
13,上,ja,m1,open-lingo-curriculum-order
14,人,ja,m1,open-lingo-curriculum-order
15,何,ja,m1,open-lingo-curriculum-order
16,声,ja,m1,open-lingo-curriculum-order
17,家,ja,m1,open-lingo-curriculum-order
18,山,ja,m1,open-lingo-curriculum-order
19,川 / 河,ja,m1,open-lingo-curriculum-order
20,朝,ja,m1,open-lingo-curriculum-order
21,歌,ja,m1,open-lingo-curriculum-order
22,池,ja,m1,open-lingo-curriculum-order
23,海,ja,m1,open-lingo-curriculum-order
24,犬,ja,m1,open-lingo-curriculum-order
25,猫,ja,m1,open-lingo-curriculum-order
26,空,ja,m1,open-lingo-curriculum-order
27,色,ja,m1,open-lingo-curriculum-order
28,花,ja,m1,open-lingo-curriculum-order
29,雪,ja,m1,open-lingo-curriculum-order
30,青い,ja,m1,open-lingo-curriculum-order
31,鼻,ja,m1,open-lingo-curriculum-order
32,時計,ja,m1,open-lingo-curriculum-order
33,えび,ja,m2,open-lingo-curriculum-order
34,かぎ,ja,m2,open-lingo-curriculum-order
35,きゅうり,ja,m2,open-lingo-curriculum-order
36,散歩,ja,m2,open-lingo-curriculum-order
37,象,ja,m2,open-lingo-curriculum-order
38,どあ,ja,m2,open-lingo-curriculum-order
39,ぱん,ja,m2,open-lingo-curriculum-order
40,ぴあの,ja,m2,open-lingo-curriculum-order
41,豚,ja,m2,open-lingo-curriculum-order
