rank,lemma,lang,order_signal,source
1,아이,ko,m1,open-lingo-curriculum-order
2,오이,ko,m1,open-lingo-curriculum-order
3,오,ko,m1,open-lingo-curriculum-order
4,이,ko,m1,open-lingo-curriculum-order
5,고기,ko,m1,open-lingo-curriculum-order
6,아기,ko,m1,open-lingo-curriculum-order
7,거기,ko,m1,open-lingo-curriculum-order
8,나,ko,m1,open-lingo-curriculum-order
9,너,ko,m1,open-lingo-curriculum-order
10,누구,ko,m1,open-lingo-curriculum-order
11,어머니,ko,m1,open-lingo-curriculum-order
12,나무,ko,m1,open-lingo-curriculum-order
13,구두,ko,m1,open-lingo-curriculum-order
14,도,ko,m1,open-lingo-curriculum-order
15,모두,ko,m1,open-lingo-curriculum-order
16,다리,ko,m1,open-lingo-curriculum-order
17,머리,ko,m1,open-lingo-curriculum-order
18,우리,ko,m1,open-lingo-curriculum-order
19,바다,ko,m1,open-lingo-curriculum-order
20,비,ko,m1,open-lingo-curriculum-order
21,바보,ko,m1,open-lingo-curriculum-order
22,사,ko,m1,open-lingo-curriculum-order
23,소,ko,m1,open-lingo-curriculum-order
24,사이,ko,m1,open-lingo-curriculum-order
25,자,ko,m1,open-lingo-curriculum-order
26,모자,ko,m1,open-lingo-curriculum-order
27,지도,ko,m1,open-lingo-curriculum-order
28,하나,ko,m1,open-lingo-curriculum-order
29,하루,ko,m1,open-lingo-curriculum-order
30,호두,ko,m1,open-lingo-curriculum-order
31,ㄱ,ko,m1,open-lingo-curriculum-order
32,ㄴ,ko,m1,open-lingo-curriculum-order
33,ㄷ,ko,m1,open-lingo-curriculum-order
34,ㄹ,ko,m1,open-lingo-curriculum-order
35,ㅁ,ko,m1,open-lingo-curriculum-order
36,ㅂ,ko,m1,open-lingo-curriculum-order
37,ㅅ,ko,m1,open-lingo-curriculum-order
38,ㅇ,ko,m1,open-lingo-curriculum-order
39,ㅈ,ko,m1,open-lingo-curriculum-order
40,ㅎ,ko,m1,open-lingo-curriculum-order
41,ㅏ,ko,m1,open-lingo-curriculum-order
42,ㅓ,ko,m1,open-lingo-curriculum-order
43,ㅗ,ko,m1,open-lingo-curriculum-order
44,ㅜ,ko,m1,open-lingo-curriculum-order
45,ㅡ,ko,m1,open-lingo-curriculum-order
46,ㅣ,ko,m1,open-lingo-curriculum-order
47,코,ko,m2,open-lingo-curriculum-order
48,키,ko,m2,open-lingo-curriculum-order
49,커피,ko,m2,open-lingo-curriculum-order
